cities	1. Sektor	2. Sektor	3. Sektor	time
Basel	5019	117238	351998	2020-01-01
Bern	7438	42017	276729	2020-01-01
Genf	5118	69294	417228	2020-01-01
Lausanne	5069	38365	233690	2020-01-01
Zürich	8981	128213	862845	2020-01-01
Frankfurt a. M.	6599	242597	1245813	2020-01-01
Freiburg i. Br.	6759	74665	245125	2020-01-01
Karlsruhe	2079	85942	311880	2020-01-01
München	11506	282496	1417390	2020-01-01
Stuttgart	10892	425309	1032270	2020-01-01
Lille	4455	91937	520426	2019-01-01
Lyon	7431	199559	828810	2019-01-01
Metz	1599	28742	129061	2019-01-01
Paris	17164	771418	5235158	2019-01-01
Strassburg	3853	71859	295521	2019-01-01
Mailand	23371	584648	1602070	2011-01-01
Bologna	10190	91792	263776	2011-01-01
Lissabon	20959	205573	1109267	2020-01-01
Porto	3928	95493	419596	2020-01-01
Barcelona	6072	397007	1875403	2020-01-01
Madrid	18731	502827	3038806	2020-01-01
London	2000	547400	6250700	2016-01-01
