"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- u. Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2013"	2.8	2.8	4.5	9.8	3.7	4.0	7.6	7.4	6.3	6.7	2.6
"2014"	2.7	2.7	4.5	8.6	3.9	4.4	7.5	5.7	6.6	5.8	2.8
"2015"	2.8	3.0	4.5	8.6	4.5	5.3	8.0	6.4	6.8	7.3	3.1
"2016"	2.9	3.2	5.1	9.2	4.8	7.1	7.6	6.9	7.0	7.2	3.4
"2017"	2.8	3.0	5.2	8.7	4.7	6.8	7.5	6.3	7.1	6.9	3.3
"2018"	2.6	2.9	4.8	7.9	3.9	4.7	7.2	4.1	5.6	6.6	2.8
"2019"	2.3	2.8	4.7	6.4	3.8	5.0	6.9	3.4	5.0	6.0	2.7
"2020"	3.0	3.8	6.0	8.1	4.9	6.0	8.6	4.9	5.9	7.5	3.4
"2021"	2.9	3.6	5.9	8.5	4.6	6.5	9.0	5.3	7.8	6.4	3.5
"2022"	2.2	2.4	4.7	7.2	3.8	4.6	7.3	4.9	6.8	5.0	3.8
"2023"	2.1	2.6	4.5	6.6	4.5	5.6	5.7	4.7	7.6	6.2	4.4

