""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2010-01"	0.059544	196
"2010-02"	0.059544	205
"2010-03"	0.059544	182
"2010-04"	0.059544	165
"2010-05"	0.059544	156
"2010-06"	0.059544	147
"2010-07"	0.059544	125
"2010-08"	0.059544	122
"2010-09"	0.059544	116
"2010-10"	0.059544	112
"2010-11"	0.059544	123
"2010-12"	0.059544	150
"2011-01"	0.059477	154
"2011-02"	0.059477	164
"2011-03"	0.059477	154
"2011-04"	0.059477	129
"2011-05"	0.059477	131
"2011-06"	0.059477	129
"2011-07"	0.059477	115
"2011-08"	0.059477	126
"2011-09"	0.059477	131
"2011-10"	0.059477	142
"2011-11"	0.059477	185
"2011-12"	0.059477	237
"2012-01"	0.082646	283
"2012-02"	0.082646	285
"2012-03"	0.082646	272
"2012-04"	0.082646	232
"2012-05"	0.082646	203
"2012-06"	0.082646	171
"2012-07"	0.082646	159
"2012-08"	0.082646	140
"2012-09"	0.082646	137
"2012-10"	0.082646	155
"2012-11"	0.082646	190
"2012-12"	0.082646	270
"2013-01"	0.081388	299
"2013-02"	0.081388	277
"2013-03"	0.081388	245
"2013-04"	0.081388	222
"2013-05"	0.081388	192
"2013-06"	0.081388	167
"2013-07"	0.081388	146
"2013-08"	0.081388	140
"2013-09"	0.081388	154
"2013-10"	0.081388	166
"2013-11"	0.081388	192
"2013-12"	0.081388	259
"2014-01"	0.081620	268
"2014-02"	0.081620	245
"2014-03"	0.081620	236
"2014-04"	0.081620	206
"2014-05"	0.081620	172
"2014-06"	0.081620	145
"2014-07"	0.081620	147
"2014-08"	0.081620	145
"2014-09"	0.081620	163
"2014-10"	0.081620	181
"2014-11"	0.081620	233
"2014-12"	0.081620	325
"2015-01"	0.099824	329
"2015-02"	0.099824	312
"2015-03"	0.099824	305
"2015-04"	0.099824	268
"2015-05"	0.099824	236
"2015-06"	0.099824	207
"2015-07"	0.099824	185
"2015-08"	0.099824	177
"2015-09"	0.099824	188
"2015-10"	0.099824	213
"2015-11"	0.099824	271
"2015-12"	0.099824	325
"2016-01"	0.112136	355
"2016-02"	0.112136	354
"2016-03"	0.112136	327
"2016-04"	0.112136	308
"2016-05"	0.112136	294
"2016-06"	0.112136	268
"2016-07"	0.112136	240
"2016-08"	0.112136	218
"2016-09"	0.112136	219
"2016-10"	0.112136	220
"2016-11"	0.112136	262
"2016-12"	0.112136	323
"2017-01"	0.095985	340
"2017-02"	0.095985	304
"2017-03"	0.095985	283
"2017-04"	0.095985	254
"2017-05"	0.095985	230
"2017-06"	0.095985	203
"2017-07"	0.095985	177
"2017-08"	0.095985	194
"2017-09"	0.095985	172
"2017-10"	0.095985	195
"2017-11"	0.095985	238
"2017-12"	0.095985	310
"2018-01"	0.098070	329
"2018-02"	0.098070	310
"2018-03"	0.098070	298
"2018-04"	0.098070	263
"2018-05"	0.098070	221
"2018-06"	0.098070	194
"2018-07"	0.098070	186
"2018-08"	0.098070	183
"2018-09"	0.098070	184
"2018-10"	0.098070	204
"2018-11"	0.098070	257
"2018-12"	0.098070	334

