Jahr	Sehr sicher 	Eher sicher	Eher unsicher	Ganz unsicher 	Weiss nicht / keine Angabe								
2003: männlich 	411	235	27	2	4								
2003: weiblich 	416	342	52	7	1								
.													
2005: männlich 	416	255	27	5	0								
2005: weiblich 	429	329	43	5	1								
..													
2007: männlich 	366	297	27	3	0								
2007: weiblich 	390	371	48	4	3								
...													
2011: männlich 	346	293	30	5	0								
2011: weiblich 	384	384	64	9	1								
....													
2015: männlich 	302	335	46	4	1								
2015: weiblich 	333	403	69	11	2								
