	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	3.8	19.8	19.2	30.5	7	19.6
Mehrpersonen-HH (n=871)	2.6	16.3	19.3	37.8	5.7	18.3
*Geschlecht						
Männlich (n=637)	2.2	15.2	21.4	41.3	5.7	14.3
Weiblich (n=760)	3.7	19.9	17.5	29.9	7.2	21.8
*Alter						
55-64 Jahre (n=518)	3.9	22.2	25.5	33	4.8	10.6
65-74 Jahre (n=434)	3.9	17.5	19.6	35.7	6.5	16.8
>74 Jahre (n=441)	1.1	12.5	11.8	36.7	7.9	29.9
*Staatsangehörigkeit						
Schweiz (n=1 280)	3	17.7	19.5	34.8	5.5	19.5
Ausland (n=120)	3.3	16.7	16.7	37.5	16.7	9.2
*Haushaltseinkommen						
<5 000 Fr. (n=428)	2.6	18	15	31.5	9.8	23.1
5 000-7 499 Fr. (n=325)	3.4	19.1	23.1	32.9	3.7	17.8
>7 499 Fr. (n=440)	3.4	20.5	23	37.7	3.6	11.8
*Wahlkreis						
Grossbasel Ost (n=357)	2.5	16.8	18.2	39.8	5.9	16.8
Grossbasel West (n=474)	3.2	21.3	19.6	31.2	6.1	18.6
Kleinbasel (n=306)	3.9	14.7	19	35	7.8	19.6
Riehen, Bettingen (n=240)	2.5	15.8	20.8	35	6.3	19.6
*Befragungsjahr						
2011 (N=1 689)	2.1	11.4	11.7	39.2	6.9	28.8
2015 (N=1 427)	3.4	16.9	16.7	36.2	7.3	19.6
2019 (N=1 410)	3	17.6	19.1	34.8	6.5	19

