"Branche"	"2022"	"2023"	"2024"
"Industrie (exkl. Chemie, Pharma)"	6974	7287	7402
"Chemie, Pharma"	17541	17514	16887
"Baugewerbe"	6654	6671	6740
"Handel, Reparatur"	11548	11589	11396
"Verkehr, Lagerei"	10157	9944	10182
"Gastgewerbe"	8001	7814	8164
"Information, Kommunikation"	5168	5127	5169
"Finanz-, Versicherungs-DL"	10245	10434	10969
"Beratung, Planung, Forschung, Immobilien"	21036	20185	20863
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	5570	5293	5317
"Personalvermittlung, -überlassung"	6673	6282	6159
"Öffentliche Verwaltung, Sozialversicherungen"	5479	5621	5757
"Erziehung, Unterricht"	9197	9188	9405
"Gesundheits-, Sozialwesen"	24693	25306	26207
"Kultur, Unterhaltung, pers. DL"	7217	7317	7657

