	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	40.1	44.5	7.4	2	2.4	3.6
Mehrpersonen-HH (n=871)	46	44	4.5	1.4	0.8	3.3
*Geschlecht						
Männlich (n=637)	38.1	49.6	5.7	2	1.4	3.1
Weiblich (n=760)	48.4	40.1	5.3	1.2	1.3	3.7
*Alter						
55-64 Jahre (n=518)	46.1	42.9	5.8	1.2	1.5	2.5
65-74 Jahre (n=434)	43.1	46.5	2.8	1.8	1.6	4.1
>74 Jahre (n=441)	41.7	43.3	7.9	1.8	0.9	4.3
*Staatsangehörigkeit						
Schweiz (n=1 280)	44.5	43.9	5.7	1.4	1.3	3.3
Ausland (n=120)	35	50	4.2	2.5	2.5	5.8
*Haushaltseinkommen						
<5 000 Fr. (n=428)	38.3	47	6.3	1.9	2.1	4.4
5 000-7 499 Fr. (n=325)	43.1	45.8	4.9	2.2	1.2	2.8
>7 499 Fr. (n=440)	48.9	43	4.5	0.9	0.7	2
*Wahlkreis						
Grossbasel Ost (n=357)	45.4	42.6	6.7	2	1.1	2.2
Grossbasel West (n=474)	43	42.8	5.7	1.7	2.1	4.6
Kleinbasel (n=306)	40.5	47.7	4.9	2	1	3.9
Riehen, Bettingen (n=240)	46.3	46.3	4.2	0	0.8	2.5
*Befragungsjahr						
2011 (N=1 689)	39.9	45.4	7.1	1.1	2.2	4.4
2015 (N=1 427)	44.1	43.7	6.8	1.3	1.1	3
2019 (N=1 410)	43.8	44.2	5.5	1.6	1.3	3.6

