Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Ganz unzufrieden	Weiss nicht	Keine Angabe
2015: Einkaufsmöglichkeiten Kanton	641	575	37	2	14	0
2019: Einkaufsmöglichkeiten Kanton	908	642	75	10	28	56
............						
2015: Einkaufsmöglichkeiten Wohnort	621	517	118	15	2	0
2019: Einkaufsmöglichkeiten Wohnort	929	617	119	25	5	53
.............						
2015: Grünanlagen	616	533	107	13	5	0
2019: Grünanlagen	788	685	161	25	7	69
..............						
2015: Öffentliche Sicherheit	263	700	248	49	11	0
2019: Öffentliche Sicherheit	585	827	182	60	20	65
...............						
2015: Verkehrssicherheit	310	773	153	21	15	0
2019: Verkehrssicherheit	475	878	256	40	12	68
....................						
2015: Sauberkeit	350	585	284	51	5	0
2019: Sauberkeit	651	674	257	78	3	77
................										
2015: Lärmsituation	349	647	205	62	4	0
2019: Lärmsituation	445	715	351	128	10	73
