"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Übrige Länder"
2014	46.5	55.3	18.6	11.5	30.6	40.9	13.0	29.6
2015	46.8	55.8	20.4	11.4	19.4	36.0	12.0	27.9
2016	49.8	57.4	27.2	13.3	28.4	37.5	14.5	27.3
2017	51.8	68.7	23.2	9.3	32.0	42.1	17.1	33.3
2018	49.5	66.0	22.1	8.8	27.7	37.5	11.9	26.6
2019	47.0	62.4	21.7	10.2	29.1	33.3	10.5	30.8
2020	46.5	59.6	17.6	13.1	27.0	32.1	9.6	27.5
2021	45.5	52.0	14.7	9.0	23.3	28.8	13.3	28.3
2022	43.7	51.3	16.5	12.0	26.9	40.4	11.0	24.3
2023	41.9	60.8	21.8	11.8	34.7	41.0	10.1	25.5

