""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Beratung und Planung"
"2011-01"	980	47
"2011-02"	1005	46
"2011-03"	1072	42
"2011-04"	1078	27
"2012-01"	1158	47
"2012-02"	1150	43
"2012-03"	1272	38
"2012-04"	1399	52
"2013-01"	1476	48
"2013-02"	1440	54
"2013-03"	1535	43
"2013-04"	1523	37
"2014-01"	1479	81
"2014-02"	1605	59
"2014-03"	1677	78
"2014-04"	1679	73
"2015-01"	1666	115
"2015-02"	1735	97
"2015-03"	1828	75
"2015-04"	1836	83
"2016-01"	1869	155
"2016-02"	1971	81
"2016-03"	1955	59
"2016-04"	2033	59
"2017-01"	2063	83
"2017-02"	2044	73
"2017-03"	2119	43
"2017-04"	2142	34
"2018-01"	2234	76
"2018-02"	2215	70
"2018-03"	2142	56
"2018-04"	2136	42
"2019-01"	2216	54
"2019-02"	2313	53
"2019-03"	2351	47
"2019-04"	2308	59
"2020-01"	2353	41
"2020-02"	2326	22
"2020-03"	2414	23
"2020-04"	2398	36

