	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	33.6	45.7	10.1	2.2	4.3	4.2
Mehrpersonen-HH (n=921)	31.3	49.1	11.7	1.5	3	3.4
*Geschlecht						
Männlich (n=627)	30	50.7	11.6	1.1	4.3	2.2
Weiblich (n=793)	33.8	45.4	10.8	2.3	2.9	4.8
*Alter						
55-64 Jahre (n=477)	31.4	46.5	11.7	1.7	5.5	3.1
65-74 Jahre (n=475)	28.6	53.9	9.9	1.7	2.5	3.4
>74 Jahre (n=463)	36.5	43	11.9	1.9	2.4	4.3
*Staatsangehörigkeit						
Schweiz (n=1 309)	32.2	47.8	11.2	1.6	3.4	3.7
Ausland (n=107)	30.8	48.6	11.2	3.7	3.7	1.9
*Haushaltseinkommen						
<5 000 Fr. (n=447)	28.9	47	11.6	2.9	4.3	5.4
5 000-7 499 Fr. (n=327)	33.9	47.7	11.9	1.8	2.1	2.4
>7 499 Fr. (n=449)	33.2	49.4	11.8	0.7	2.7	2.2
*Wahlkreis						
Grossbasel Ost (n=404)	36.9	45.5	9.4	1.5	3	3.7
Grossbasel West (n=438)	27.9	52.3	11.4	1.1	4.3	3
Kleinbasel (n=288)	31.9	45.1	10.8	3.1	4.5	4.5
Riehen, Bettingen (n=252)	32.5	49.2	12.3	1.2	1.6	3.2
*Befragungsjahr						
2011 (N=1 689)	34.3	45.8	10.2	0.9	3.6	5.3
2015 (N=1 427)	32.1	47.9	11.1	1.8	3.5	3.6

