""	"Bestand Grenzgänger Sonstige wirtsch. DL"	"Bestand Meldepflichtige in VZÄ"
"2016-01"	1960	83
"2016-02"	2044	12
"2016-03"	2063	3
"2016-04"	2103	8
"2017-01"	2063	86
"2017-02"	2147	9
"2017-03"	2359	2
"2017-04"	2281	8
"2018-01"	2301	30
"2018-02"	2346	9
"2018-03"	2362	12
"2018-04"	2396	21
"2019-01"	2417	24
"2019-02"	2440	11
"2019-03"	2410	10
"2019-04"	2569	5
"2020-01"	2504	6
"2020-02"	2483	11
"2020-03"	2581	7
"2020-04"	2564	6
"2021-01"	2531	2
"2021-02"	2486	10
"2021-03"	2555	36
"2021-04"	2603	16
"2022-01"	2661	8
"2022-02"	2707	15
"2022-03"	2682	10
"2022-04"	2742	9
"2023-01"	2737	19
"2023-02"	2854	59
"2023-03"	2976	20
"2023-04"	2892	20
"2024-01"	2906	28
"2024-02"	2999	68
"2024-03"	3034	44
"2024-04"	3062	40
"2025-01"	3051	24
"2025-02"	3168	124
"2025-03"	3173	40
"2025-04"		33

