Jahr	Familienmietzinsbeiträge in Franken
2011	4254039
2011	13104
2011	980904
2011	417564
2011	1249320
2011	278772
2011	2168400
2011	175212
2011	3283896
2011	580416
2011	603264
2011	554652
2011	2574084
2011	917208
2011	471948
2011	1159164
2011	1803324
2011	166152
2011	794185
2011	1160964
2011	3715632
2012	2456837
2012	1176192
2012	4699285
2012	1615596
2012	853068
2012	4751172
2012	1602096
2012	1357265
2012	754608
2012	820764
2012	1792489
2012	514044
2012	3233904
2012	3499252
2012	1618740
2012	241637
2012	609708
2012	828089
2012	203280
2012	5180983
2013	8086220
2013	1910076
2013	4064296
2013	3998571
2013	1708167
2013	613128
2013	307848
2013	2901761
2013	911028
2013	1688280
2013	165492
2013	1229940
2013	5203956
2013	857004
2013	920760
2013	892128
2013	1911735
2013	48000
2013	563892
2013	5301591
2013	1669944
2014	1574436
2014	4118116
2014	5568468
2014	60168
2014	1863624
2014	6062211
2014	617772
2014	953700
2014	1028304
2014	838044
2014	2051052
2014	824448
2014	2043960
2014	4516956
2014	703548
2014	256431
2014	1844808
2014	2916072
2014	166164
2014	1262676
2014	8914139
2015	9525625
2015	975725
2015	2294592
2015	4803516
2015	945780
2015	845580
2015	1434468
2015	1152060
2015	1847222
2015	161172
2015	3098233
2015	1120128
2015	4196703
2015	5561472
2015	298104
2015	956136
2015	2182668
2015	6249928
2015	698820
2015	1870356
2015	98040
2016	4662239
2016	2095788
2016	638376
2016	1729716
2016	819264
2016	115800
2016	131172
2016	5841480
2016	1009776
2016	1093122
2016	2111665
2016	898744
2016	260532
2016	990552
2016	4771273
2016	1956053
2016	6612316
2016	1305828
2016	1544965
2016	10113441
2016	3035088
