"Jahr"	"Getreide"	"Silo- und Grünmais"	"Ölsaaten"	"Kartoffeln, Rüben"	"Übrige offene Ackerfläche"	"Grünfläche"	"Dauerkulturen"	"Übrige"
1996	153.4	22.2	0.1	1.7	44.3	243.3	8.1	4.3
1997	142.3	26.2	0.6	1.9	25.4	260.4	9.4	4.4
1998	149.2	22.4	0.7	1.6	17.1	276	6.9	7.5
1999	152	24	5.8	15.2	55.2	281.7	23.6	3.2
2000	156.2	19.6	9.2	15	48.5	273	39.4	3
2001	142.1	20.2	0	1.4	13.4	281.8	14.8	2.3
2002	119.9	21.3	0	1.4	28.8	296.9	34.8	2.3
2003	96.7	33.8	0	1.4	22.3	300.4	11.4	4.2
2004	99.7	30.5	0	1.2	24.6	293.6	11.1	4.2
2005	116.6	32.4	0	0.2	13.2	289.1	9	2.2
2006	123.6	24.9	0.9	0.2	12.4	287.7	8.6	1.8
2007	133.6	22.1	0	0	11.8	238	6.9	1.7
2008	126.1	26.2	0	0	22	280	6.3	2.1
2009	126.6	19.2	0	0	12.2	295.7	7.5	2.1
2010	119.7	15.4	0	0	11.7	313.6	8.1	3.9
2011	92.9	14.7	10.4	0	16.4	268.9	9.2	6.1
2012	104.1	18.6	5.5	0	7.5	269.8	9.3	4.1
2013	110.2	9.7	3.8	0	12.8	266.7	7.5	13.5
2014	88.3	19.3	14.9	0	16.3	264.9	10.8	5
2015	112.4	16.8	6	0	7.9	269.2	10	5.5
2016	97	19.2	6	0	14.3	279.2	11.1	3.6
2017	71.1	15.9	4.8	0	34	288	11.2	3.7
2018	88.7	7.5	10.7	0.2	24.1	278.4	11.1	3.7
2019	83.4	9.8	5.9	0.5	16	293.9	10	2.8
2020	73.7	6.5	17.4	0.3	16.8	289.3	14.9	3.8
2021	81.3	6.7	3.4	0.4	23	290.3	14.1	2.8
