jahr	Einwohner pro ha	Einwohner	Flaeche ha
1997	52.5662313485004	194253	3695.39521888403
1998	51.9892971171887	192121	3695.39521888403
1999	51.4534951575276	190141	3695.39521888403
2000	51.0313481590068	188581	3695.39521888403
2001	50.7277270485323	187459	3695.39521888403
2002	50.8781845685179	188015	3695.39521888403
2003	50.931764764484	188213	3695.39521888403
2004	51.0032050257721	188477	3695.39521888403
2005	50.8524768987362	187920	3695.39521888403
2006	50.8178391962934	187792	3695.39521888403
2007	50.8741254627629	188000	3695.39521888403
2008	51.2951900330823	189556	3695.39521888403
2009	51.6358843094527	190815	3695.39521888403
2010	51.6315545966473	190799	3695.39521888403
2011	51.9771197999236	192076	3695.39521888403
2012	52.3513693505353	193459	3695.39521888403
2013	52.892583451203	195459	3695.39521888403
2014	53.1664377861409	196471	3695.39521888403
2015	53.3647927540356	197204	3695.39521888403
2016	53.6359410184701	198206	3695.39521888403
