"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
2013	5.6	2.1	2.4	0.9	1.0	0.5	0.8	1.0	0.2	1.3	0.1
2014	5.6	2.2	2.2	1.0	0.9	0.6	0.9	0.9	0.3	1.3	0.2
2015	5.6	2.3	2.2	1.0	0.8	0.6	1.0	1.0	0.3	1.3	0.1
2016	5.7	2.4	2.3	1.1	0.9	0.6	1.0	1.1	0.4	1.5	0.1
2017	5.7	2.5	2.2	1.0	0.9	0.6	1.0	1.1	0.5	1.7	0.1
2018	5.8	2.5	2.2	1.1	0.8	0.7	1.0	1.3	0.6	1.8	0.2
2019	5.9	2.5	2.2	1.2	0.8	0.7	1.2	1.0	0.7	2.1	0.2
2020	6.0	2.6	2.1	1.2	0.8	0.5	1.3	1.2	0.7	1.9	0.2
2021	6.1	2.7	2.2	1.2	0.8	0.6	1.5	1.0	0.7	2.1	0.3
2022	6.1	2.8	2.2	1.3	0.8	0.6	1.6	1.3	0.9	1.6	0.3
