"Jahr"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"
"2005"	46.8	44.1	49.1	34.7	35.3	34.1
"2006"	46.9	44.2	49.1	35.0	35.5	34.4
"2007"	46.8	44.1	49.1	35.4	36.0	34.8
"2008"	46.6	43.9	48.9	35.7	36.2	35.0
"2009"	46.6	44.0	48.8	35.8	36.4	35.2
"2010"	46.5	43.9	48.7	36.1	36.6	35.4
"2011"	46.5	43.9	48.7	36.1	36.7	35.5
"2012"	46.4	43.9	48.6	36.3	36.8	35.7
"2013"	46.4	43.8	48.5	36.4	36.9	35.8
"2014"	46.3	43.9	48.4	36.5	37.0	36.0
"2015"	46.2	43.8	48.2	36.7	37.2	36.2
"2016"	46.1	43.8	48.1	36.9	37.3	36.4
"2017"	46.0	43.8	47.9	37.0	37.4	36.6
"2018"	45.9	43.7	47.8	37.1	37.4	36.8
"2019"	45.9	43.8	47.8	37.3	37.6	37.0
"2020"	45.7	43.6	47.5	37.5	37.8	37.2
"2021"	45.5	43.5	47.3	37.7	38.0	37.5
"2022"	45.5	43.5	47.2	37.8	37.9	37.6
"2023"	45.4	43.5	47.1	37.9	38.1	37.7
"2024"	45.4	43.5	47.0	38.0	38.1	37.9

