"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	202113	""	""	""
"1986"	199945	""	""	""
"1987"	198515	""	""	""
"1988"	196752	""	""	""
"1989"	196036	""	""	""
"1990"	196699	""	""	""
"1991"	197987	""	""	""
"1992"	198609	""	""	""
"1993"	199570	""	""	""
"1994"	199004	""	""	""
"1995"	198128	""	""	""
"1996"	196647	""	""	""
"1997"	194268	""	""	""
"1998"	192192	""	""	""
"1999"	190247	""	""	""
"2000"	188151	""	""	""
"2001"	187436	""	""	""
"2002"	188085	""	""	""
"2003"	188079	""	""	""
"2004"	188478	""	""	""
"2005"	187463	""	""	""
"2006"	187368	""	""	""
"2007"	187684	""	""	""
"2008"	189274	""	""	""
"2009"	190045	""	""	""
"2010"	190333	""	""	""
"2011"	192076	""	""	""
"2012"	193459	""	""	""
"2013"	195459	""	""	""
"2014"	196471	""	""	""
"2015"	197204	""	""	""
"2016"	198206	""	""	""
"2017"	198988	""	""	""
"2018"	200256	""	""	""
"2019"	200682	""	""	""
"2020"	201971	""	""	""
"2021"	201805	""	""	""
"2022"	204550	""	""	""
"2023"	""	206431	205369	204118
"2024"	""	208409	206286	203738
"2025"	""	210425	207263	203403
"2026"	""	212449	208272	203092
"2027"	""	214482	209297	202781
"2028"	""	216537	210335	202451
"2029"	""	218641	211393	202093
"2030"	""	220812	212475	201700
"2031"	""	223060	213583	201274
"2032"	""	225377	214708	200816
"2033"	""	227740	215832	200331
"2034"	""	230118	216932	199822
"2035"	""	232474	217984	199296
"2036"	""	234775	218968	198755
"2037"	""	236997	219870	198206
"2038"	""	239123	220685	197652
"2039"	""	241147	221414	197099
"2040"	""	243070	222062	196550
"2041"	""	244898	222639	196009
"2042"	""	246639	223153	195476
"2043"	""	248302	223611	194954
"2044"	""	249892	224020	194441
"2045"	""	251414	224382	193939

