Jahr	Schweiz	Deutschland	Italien	Türkei	EU-West + EFTA + UK	EU-Ost	Balkan	Mittel- und Südamerika	Arabische Länder	Afrikanische Länder	Übrige Länder
2009	9.2	5.1	15.1	31.1	13.6	16.9	25.9	28.4	84.8	71.7	18.9
2010	9.0	5.2	12.8	34.8	12.4	13.9	30.2	37.8	77.7	85.2	16.8
2011	10.0	6.1	16.4	40.7	13.6	21.5	24.4	27.0	264.6	74.8	17.5
2012	9.3	6.8	13.5	27.9	9.9	18.0	29.6	27.8	147.7	61.5	14.5
2013	8.8	6.8	11.7	25.2	11.1	16.2	23.8	29.8	107.2	60.4	13.9
2014	9.3	6.5	10.3	27.7	9.4	16.5	29.0	29.4	85.8	47.1	13.3
2015	9.1	7.6	12.7	29.2	9.8	15.8	27.2	28.7	65.0	50.9	12.7
2016	9.3	6.6	12.8	28.6	10.7	16.7	25.2	28.5	101.5	46.9	16.2
2017	8.8	6.5	10.6	27.6	9.6	15.7	28.2	32.1	63.6	48.4	12.7
2018	8.9	6.9	13.0	30.5	8.2	16.3	24.8	36.0	61.2	60.4	14.3
2019	9.3	6.6	11.7	24.9	8.9	13.8	24.9	25.2	79.6	41.7	11.2
2020	9.3	8.3	11.4	21.3	10.0	15.1	19.6	26.4	58.0	30.1	10.8
2021	7.8	6.9	9.2	19.3	7.0	13.2	17.3	20.0	81.2	40.3	10.6
2022	7.7	4.7	11.1	19.8	8.4	11.2	16.7	26.8	95.7	35.0	12.1
2023	7.7	5.2	8.3	20.2	8.1	14.0	22.2	21.3	119.5	42.8	10.1
