""	"Mittlere jährliche Arbeitslosenquote Heime"	"Mittlere jährliche Arbeitslosenquote Sozialwesen"	"Monatliche Anzahl Arbeitslose Heime (rechte Skala)"	"Monatliche Anzahl Arbeitslose Sozialwesen (rechte Skala)"
"2013-01"	0.034967	0.026085	119	66
"2013-02"	0.034967	0.026085	111	64
"2013-03"	0.034967	0.026085	117	60
"2013-04"	0.034967	0.026085	117	60
"2013-05"	0.034967	0.026085	119	60
"2013-06"	0.034967	0.026085	101	60
"2013-07"	0.034967	0.026085	113	72
"2013-08"	0.034967	0.026085	117	79
"2013-09"	0.034967	0.026085	115	84
"2013-10"	0.034967	0.026085	111	90
"2013-11"	0.034967	0.026085	104	90
"2013-12"	0.034967	0.026085	113	91
"2014-01"	0.031179	0.027425	114	82
"2014-02"	0.031179	0.027425	113	74
"2014-03"	0.031179	0.027425	121	69
"2014-04"	0.031179	0.027425	109	70
"2014-05"	0.031179	0.027425	104	65
"2014-06"	0.031179	0.027425	101	61
"2014-07"	0.031179	0.027425	105	73
"2014-08"	0.031179	0.027425	107	83
"2014-09"	0.031179	0.027425	96	87
"2014-10"	0.031179	0.027425	85	82
"2014-11"	0.031179	0.027425	80	86
"2014-12"	0.031179	0.027425	75	89
"2015-01"	0.031256	0.027425	91	84
"2015-02"	0.031256	0.027425	91	73
"2015-03"	0.031256	0.027425	97	71
"2015-04"	0.031256	0.027425	98	69
"2015-05"	0.031256	0.027425	94	69
"2015-06"	0.031256	0.027425	97	61
"2015-07"	0.031256	0.027425	100	68
"2015-08"	0.031256	0.027425	101	87
"2015-09"	0.031256	0.027425	107	89
"2015-10"	0.031256	0.027425	115	84
"2015-11"	0.031256	0.027425	114	87
"2015-12"	0.031256	0.027425	108	79
"2016-01"	0.036126	0.033708	101	80
"2016-02"	0.036126	0.033708	116	90
"2016-03"	0.036126	0.033708	121	87
"2016-04"	0.036126	0.033708	119	92
"2016-05"	0.036126	0.033708	121	99
"2016-06"	0.036126	0.033708	120	87
"2016-07"	0.036126	0.033708	120	92
"2016-08"	0.036126	0.033708	125	105
"2016-09"	0.036126	0.033708	117	105
"2016-10"	0.036126	0.033708	114	101
"2016-11"	0.036126	0.033708	115	99
"2016-12"	0.036126	0.033708	113	95
"2017-01"	0.042207	0.035912	124	94
"2017-02"	0.042207	0.035912	123	91
"2017-03"	0.042207	0.035912	127	96
"2017-04"	0.042207	0.035912	135	103
"2017-05"	0.042207	0.035912	134	96
"2017-06"	0.042207	0.035912	138	92
"2017-07"	0.042207	0.035912	136	103
"2017-08"	0.042207	0.035912	141	116
"2017-09"	0.042207	0.035912	138	107
"2017-10"	0.042207	0.035912	147	106
"2017-11"	0.042207	0.035912	147	101
"2017-12"	0.042207	0.035912	148	101
"2018-01"	0.033601	0.032994	134	104
"2018-02"	0.033601	0.032994	128	89
"2018-03"	0.033601	0.032994	122	83
"2018-04"	0.033601	0.032994	123	84
"2018-05"	0.033601	0.032994	112	81
"2018-06"	0.033601	0.032994	109	81
"2018-07"	0.033601	0.032994	102	92
"2018-08"	0.033601	0.032994	104	106
"2018-09"	0.033601	0.032994	106	101
"2018-10"	0.033601	0.032994	108	107
"2018-11"	0.033601	0.032994	82	96
"2018-12"	0.033601	0.032994	74	84
"2019-01"	0.026953	0.028080	87	85
"2019-02"	0.026953	0.028080	80	74
"2019-03"	0.026953	0.028080	87	69
"2019-04"	0.026953	0.028080	83	60
"2019-05"	0.026953	0.028080	87	70
"2019-06"	0.026953	0.028080	82	67
"2019-07"	0.026953	0.028080	88	82
"2019-08"	0.026953	0.028080	96	100
"2019-09"	0.026953	0.028080	88	78
"2019-10"	0.026953	0.028080	88	79
"2019-11"	0.026953	0.028080	94	83
"2019-12"	0.026953	0.028080	86	96
"2020-01"	0.033678	0.039545	91	96
"2020-02"	0.033678	0.039545	95	92
"2020-03"	0.033678	0.039545	91	91
"2020-04"	0.033678	0.039545	97	102
"2020-05"	0.033678	0.039545	106	100
"2020-06"	0.033678	0.039545	110	105
"2020-07"	0.033678	0.039545	128	127
"2020-08"	0.033678	0.039545	121	130
"2020-09"	0.033678	0.039545	122	134
"2020-10"	0.033678	0.039545	114	119
"2020-11"	0.033678	0.039545	118	121
"2020-12"	0.033678	0.039545	114	111
"2021-01"	0.037054	0.037758	109	111
"2021-02"	0.037054	0.037758	118	119
"2021-03"	0.037054	0.037758	110	114
"2021-04"	0.037054	0.037758	120	110
"2021-05"	0.037054	0.037758	122	106
"2021-06"	0.037054	0.037758	118	109
"2021-07"	0.037054	0.037758	120	114
"2021-08"	0.037054	0.037758	126	102
"2021-09"	0.037054	0.037758	126	98
"2021-10"	0.037054	0.037758	127	97
"2021-11"	0.037054	0.037758	121	96
"2021-12"	0.037054	0.037758	121	92
"2022-01"	0.028602	0.028586	114	83
"2022-02"	0.028602	0.028586	112	82
"2022-03"	0.028602	0.028586	103	82
"2022-04"	0.028602	0.028586	96	82
"2022-05"	0.028602	0.028586	96	76
"2022-06"	0.028602	0.028586	95	82
"2022-07"	0.028602	0.028586	87	76
"2022-08"	0.028602	0.028586	100	80
"2022-09"	0.028602	0.028586	91	76
"2022-10"	0.028602	0.028586	78	74
"2022-11"	0.028602	0.028586	69	88
"2022-12"	0.028602	0.028586	69	79

