Schuljahr	Diphtherie/Tetanus	Hepatitis B	Masern	Poliomyelitis	Pertussis	HPV
1999/00	87.3	69.0	71.7	86.8		
2000/01	80.5	66.8	81.5	91.0		
2001/02	84.9	69.7	82.4	93.0		
2002/03	82.2	74.0	81.6	91.3		
2003/04	85.9	72.2	84.7	92.6		
2004/05	82.1	68.6	83.0	91.3		
2005/06	88.5	77.4	85.8	94.3		
2006/07	84.7	71.4	87.5	93.0		
2007/08	86.7	75.0	88.8	94.1		
2008/09	85.8	76.0	91.4	94.1	77.8	56.9
2009/10	87.6	75.4	92.0	94.7	84.9	57.1
2010/11	85.3	66.2	93.4	94.5	89.4	45.8
2011/12	85.2	70.2	94.1	95.4	90.1	55.4
2012/13	85.7	72.3	95.7	96.5	94.0	55.4
2013/14	84.2	70.4	95.7	95.5	70.8	53.4
2014/15	83.1	71.9	95.0	94.9	72.8	50.9
2015/16	85.8	76.3	96.0	94.6	79.1	54.0
2016/17	82.5	77.7	96.6	95.0	79.6	51.9
2017/18	82.1	76.0	96.2	94.0	80.5	44.9
2018/19	85.2	79.4	96.8	93.8	83.8	52.2
2019/20	84.2	83.6	97.1	92.9	82.2	58.9
2020/21	83.0	83.5	97.0	93.1	82.2	57.5
2021/22	82.5	83.8	96.7	94.4	81.1	54.9
2022/23	80.5	87.8	97.3	92.7	78.9	58.2
2023/24	81.7	88.3	97.9	93.0	80.3	59.3
