	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	22.7	45.7	16.2	4.5	5.3	5.5
Mehrpersonen-HH (n=921)	20.8	46.4	21.8	2.8	4.7	3.5
*Geschlecht						
Männlich (n=627)	18.8	50.7	19.9	2.6	5.3	2.7
Weiblich (n=793)	23.7	42.5	19.7	4.2	4.5	5.4
*Alter						
55-64 Jahre (n=477)	19.9	44.7	21.8	2.9	7.8	2.9
65-74 Jahre (n=475)	20.4	48.6	19.4	3.4	4.8	3.4
>74 Jahre (n=463)	24.4	45.4	18.1	3.9	1.9	6.3
*Staatsangehörigkeit						
Schweiz (n=1 309)	22.2	45.5	20.1	3.2	4.7	4.4
Ausland (n=107)	14	54.2	17.8	6.5	5.6	1.9
*Haushaltseinkommen						
<5 000 Fr. (n=447)	18.6	46.5	20.1	3.8	4.3	6.7
5 000-7 499 Fr. (n=327)	22.9	45.9	20.8	3.4	4.6	2.4
>7 499 Fr. (n=449)	21.6	47.7	20.5	3.1	4.5	2.7
*Wahlkreis						
Grossbasel Ost (n=404)	24.3	44.8	16.8	3.5	5.4	5.2
Grossbasel West (n=438)	16.2	53	20.5	2.3	5.5	2.5
Kleinbasel (n=288)	23.3	45.8	16.3	4.2	4.9	5.6
Riehen, Bettingen (n=252)	24.6	38.5	26.6	4	2.8	3.6
*Befragungsjahr						
2011 (N=1 689)	24.7	43.3	19.8	2	4.9	5.4
2015 (N=1 427)	21.5	46.1	19.8	3.4	4.9	4.2

