"Jahr"	"Höhenlagen"	"Agglomeration"	"Stadt Basel"	"Zielwert"	"Category"
1991	660	237	128	1	0
1992	750.5	317	83	1	1
1993	688.5	209	66	1	2
1994	925	327	142	1	3
1995	853.5	328	176	1	4
1996	815.5	299.5	109	1	5
1997	859.5	341	107	1	6
1998	888.5	376.5	193	1	7
1999	684.5	237.5	84	1	8
2000	736	273.5	109	1	9
2001	775.5	223.5	190	1	10
2002	716	260	133	1	11
2003	1660.33	766	504	1	12
2004	697.33	300.5	167	1	13
2005	645.67	285	145	1	14
2006	712.67	353.5	271	1	15
2007	506.33	238	99	1	16
2008	335.67	174	78	1	17
2009	389.33	195.5	62	1	18
2010	602.67	307	215	1	19
2011	559.67	256	135	1	20
2012	292	134.5	85	1	21
2013	529	260.5	164	1	22
2014	286.33	169	108	1	23
2015	685	348	215	1	24
2016	338.33	191	81	1	25
2017	307.67	189.5	98	1	26
2018	847.33	461.5	293	1	27
2019	465.67	237	160	1	28
2020	402.67	196	253	1	29
2021	170	109.5	87	1	30
2022	428.67	255.5	196	1	31
2023	472.67	308.5	304	1	32
2024	88	80	79	1	33
