daten_jahr	Akutsomatik	Geriatrie	Psychiatrie	Rehabilitation
2008	445566	137470	123498	79826
2009	430587	140775	134596	73181
2010	418027	131485	136135	71661
2011	417849	138141	153805	71355
2012	416535	108995	135162	85532
2013	433613	102273	136359	92539
2014	440690	90778	135666	95733
2015	433919	85013	129556	99137
2016	447116	86999	135709	115163
2017	445806	89870	127945	104152
2018	453675	76943	133455	105078
2019	457195	49294	146554	126665
2020	475820	70	144400	111435
2021	492631	20	140468	120294
2022	530307	6	139686	108243
