"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	0.01064	""	""	""
"1986"	0.00768	""	""	""
"1987"	0.00700	""	""	""
"1988"	0.00522	""	""	""
"1989"	0.00303	""	""	""
"1990"	0.00172	""	""	""
"1991"	0.00198	""	""	""
"1992"	0.00230	""	""	""
"1993"	0.00242	""	""	""
"1994"	0.00328	""	""	""
"1995"	0.00533	""	""	""
"1996"	0.00775	""	""	""
"1997"	0.01204	""	""	""
"1998"	0.01519	""	""	""
"1999"	0.01542	""	""	""
"2000"	0.01308	""	""	""
"2001"	0.01408	""	""	""
"2002"	0.01328	""	""	""
"2003"	0.01362	""	""	""
"2004"	0.01439	""	""	""
"2005"	0.01520	""	""	""
"2006"	0.01406	""	""	""
"2007"	0.01402	""	""	""
"2008"	0.01236	""	""	""
"2009"	0.00924	""	""	""
"2010"	0.00744	""	""	""
"2011"	0.00496	""	""	""
"2012"	0.00473	""	""	""
"2013"	0.00341	""	""	""
"2014"	0.00230	""	""	""
"2015"	0.00337	""	""	""
"2016"	0.00417	""	""	""
"2017"	0.00500	""	""	""
"2018"	0.00711	""	""	""
"2019"	0.01011	""	""	""
"2020"	0.00960	""	""	""
"2021"	0.01095	""	""	""
"2022"	""	0.00899	0.01090	0.01254
"2023"	""	0.00868	0.01085	0.01277
"2024"	""	0.00837	0.01081	0.01300
"2025"	""	0.00806	0.01076	0.01323
"2026"	""	0.00775	0.01071	0.01346
"2027"	""	0.00744	0.01067	0.01369
"2028"	""	0.00712	0.01062	0.01392
"2029"	""	0.00681	0.01057	0.01415
"2030"	""	0.00650	0.01052	0.01438
"2031"	""	0.00619	0.01048	0.01461
"2032"	""	0.00588	0.01043	0.01484
"2033"	""	0.00557	0.01038	0.01506
"2034"	""	0.00525	0.01034	0.01529
"2035"	""	0.00494	0.01029	0.01552
"2036"	""	0.00463	0.01024	0.01575
"2037"	""	0.00432	0.01020	0.01598
"2038"	""	0.00401	0.01015	0.01621
"2039"	""	0.00370	0.01010	0.01644
"2040"	""	0.00338	0.01005	0.01667
"2041"	""	0.00307	0.01001	0.01690
"2042"	""	0.00276	0.00996	0.01713
"2043"	""	0.00245	0.00991	0.01736
"2044"	""	0.00214	0.00987	0.01758
"2045"	""	0.00183	0.00982	0.01781

