Land	2006	2015	Rank
Ausland	62.7266806074526	58.1732220098582	1
	0	0	2
Türkei	77.3575061953828	84.0894868585732	3
Ehem. Jugoslawien ohne SLO	79.0910826809242	81.8783068783069	4
Italien	90.9963704484252	75.6082871597205	5
Deutschland	43.1789166514682	57.6923076923077	6
Spanien	87.1337579617834	57.5864886951784	7
Maghreb und Ägypten	50.9677419354839	52.2968197879859	8
Übriges Ausland	41.6809116809117	42.8841876094467	9
Mittel- und Südamerika	38.6376981796829	41.9771485345256	10
EU Oststaaten	29.0490341753343	17.8384660081348	11
