Jahr	4 Zimmer u.m.	Anteil am Gesamtbestand (rechte Skala)	Anzahl_Total
2000	28137	27.03089574607	104092
2004			
2005	29012	27.732425870342	104614
2006	29240	27.906887962052	104777
2007	29325	28.004316436838	104716
2008	29434	28.09552899851	104764
2009	29603	28.176159293383	105064
2010	29782	28.290523596017	105272
2011	30196	28.599301023839	105583
2012	30274	28.600039677666	105853
2013	31342	29.510295931529	106207
2014	31610	29.554485531298	106955
2015	31778	29.429796534511	107979
2016	31914	29.335416858167	108790
2017	32045	29.267513014887	109490
2018	32285	29.233067729083	110440
2019	32433	29.091023249138	111488
2020	32483	28.89972331		112399
2021	32668	28.752233341254	113619
2022	32931	28.579309869232	115004
2023	33154	28.634656185871	116007
2024	33230	28.486682497363	116651
