Name	 Weiss nicht/k.A.	 Ganz unzufrieden	 Eher unzufrieden	 Eher zufrieden	 Sehr zufrieden
ÖV-Angebot	0.9	0.3	3.5	26.4	68.9
Grünanlagen	0.5	0.9	7.3	41.6	49.7
Verkehrssicherheit	1.1	1.5	11.5	61.4	24.5
Gebäude/Strassenbild	2.4	1.5	12.2	60.7	23.2
Quartierleben	9.2	0.7	7.7	55.9	26.6
Bevölkerung	5.6	1.4	10.7	60.7	21.6
Luftqualität	2.5	2.4	14.6	61.8	18.7
Lärmsituation	0.3	4.4	15.7	50.1	29.5
Öffentliche Sicherheit	0.8	3.5	19.1	55.4	21.1
Schule, Bildung	19.6	0.8	7.3	43.2	29
Arbeitsplatzangebot	25.4	2	14.8	46.5	11.3
Wohnungsangebot	14.6	5.8	28.9	39.8	11
Parkplätze	27	16.4	21.3	27.1	8.2
