JAHR	FAMI-Quote Klybeck	FAMI-Quote Kleinhüningen	PV-Quote Klybeck	PV-Quote Kleinhüningen	FAMI-Quote Stadt Basel	PV-Quote Stadt Basel
2011	2.4	2.6	22.0	20.0	1.3	14.2
2012	3.2	3.3	22.6	19.2	1.6	14.6
2013	3.9	3.8	23.0	19.3	1.8	14.7
2014	4.1	4.1	23.5	19.9	2.0	14.7
2015	4.4	4.5	23.0	21.0	2.1	14.2
2016	4.8	5.2	23.9	22.5	2.3	14.8
2017	4.7	5.0	23.5	23.3	2.4	15.0
2018	4.8	5.1	25.0	23.3	2.4	15.2
2019	4.3	4.6	26.9	25.0	2.4	16.6
2020	4.3	5.1	27.8	25.8	2.4	17.0
2021	4.2	4.5	28.7	27.0	2.3	17.2
2022	4.0	4.8	26.5	26.9	2.2	16.5
2023	4.1	4.6	26.4	25.6	2.2	16.2
2024	3.8	4.7	25.1	23.7	2.1	15.8	
