"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2000"	24.8	26.4	25.3	31.0	26.6	37.1	20.4	37.9	56.1	48.5	30.8
"2001"	23.6	22.4	25.3	31.6	26.3	35.7	19.2	35.8	53.1	47.7	29.3
"2002"	22.1	23.4	24.5	31.1	24.7	35.2	18.6	33.4	47.7	37.3	26.7
"2003"	23.1	23.5	24.2	33.7	24.2	30.4	21.0	22.9	45.3	41.5	24.4
"2004"	22.8	20.9	24.3	29.6	24.1	31.0	20.2	28.3	42.1	42.2	29.3
"2005"	22.8	20.3	23.9	31.0	24.0	28.8	20.1	34.7	44.6	35.4	28.9
"2006"	21.7	20.5	23.3	31.5	22.7	26.3	18.6	35.2	42.2	41.6	30.4
"2007"	21.5	19.2	22.7	30.9	25.5	25.1	20.9	36.7	32.3	41.2	28.3
"2008"	20.6	20.8	22.1	30.8	27.6	19.5	19.9	31.4	32.7	46.2	30.1
"2009"	20.6	20.4	22.1	27.7	28.1	21.4	19.1	31.7	34.4	45.8	32.3
"2010"	21.4	22.0	22.1	28.0	28.0	22.8	18.1	29.0	34.0	43.5	26.8
"2011"	21.4	18.9	20.8	27.7	27.4	23.7	17.2	29.6	38.4	43.4	28.0
"2012"	20.9	22.5	19.2	26.5	26.3	24.1	16.5	25.7	38.3	42.8	27.4
"2013"	20.2	24.5	19.6	29.1	24.8	26.4	18.2	23.6	38.8	40.6	28.7
"2014"	19.7	19.8	18.2	28.1	23.5	29.1	18.4	26.8	38.0	41.7	24.4
"2015"	19.3	18.9	20.2	27.3	21.9	25.1	18.0	31.6	37.1	44.9	23.2
"2016"	19.2	20.4	17.9	26.4	22.3	24.7	18.8	29.5	32.8	41.0	22.5
"2017"	18.4	16.7	18.3	24.6	22.5	25.3	19.7	30.6	38.7	41.6	22.9
"2018"	16.7	16.1	18.0	24.9	22.6	24.7	19.6	25.3	42.2	39.7	22.2
"2019"	15.9	15.7	18.1	24.3	20.1	26.0	19.9	25.3	39.7	38.2	19.3
"2020"	15.7	17.1	19.3	23.0	22.0	26.0	22.7	28.9	37.4	39.5	23.2
"2021"	16.1	17.2	19.3	23.8	23.3	27.4	20.4	24.8	35.5	41.0	22.8
"2022"	16.1	17.8	18.5	22.4	22.1	26.7	19.8	25.6	36.0	37.0	23.6
"2023"	16.0	17.8	19.7	21.0	22.9	25.0	20.3	21.4	37.2	35.6	24.1

