"Branche"	"2021"	"2022"	"2023"
"Industrie (exkl. Chemie, Pharma)"	7119	6974	7287
"Chemie, Pharma"	17646	17541	17514
"Baugewerbe"	6679	6654	6671
"Handel, Reparatur"	11351	11548	11589
"Verkehr, Lagerei"	9483	10157	9944
"Gastgewerbe"	6728	8001	7814
"Information, Kommunikation"	4647	5168	5127
"Finanz-, Versicherungs-DL"	10027	10245	10434
"Beratung, Planung, Forschung, Immobilien"	20626	21036	20185
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	5326	5570	5293
"Personalvermittlung, -überlassung"	6919	6673	6282
"Öffentliche Verwaltung, Sozialversicherungen"	5422	5479	5621
"Erziehung, Unterricht"	9123	9197	9188
"Gesundheits-, Sozialwesen"	23181	24693	25306
"Kultur, Unterhaltung, pers. DL"	7091	7217	7317

