	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014-1	100.0	100.0	100.0	100.0	100.0
2014-2	101.7	101.5	103.8	101.9	102.2
2014-3	103.0	103.1	104.9	103.2	103.2
2014-4	102.5	102.9	104.2	102.8	103.2
2015-1	102.8	103.4	103.1	103.0	103.1
2015-2	104.1	105.2	105.3	104.6	105.2
2015-3	104.8	106.4	106.1	105.4	105.8
2015-4	103.8	106.4	105.5	104.8	105.7
2016-1	104.8	106.1	104.4	105.2	106.1
2016-2	106.1	107.2	107.4	106.6	107.8
2016-3	106.7	108.2	108.0	107.3	108.5
2016-4	106.1	107.5	107.2	106.7	109.4
2017-1	104.9	107.5	106.7	105.9	108.7
2017-2	106.1	108.7	110.2	107.4	111.1
2017-3	106.8	111.0	112.1	108.8	111.8
2017-4	105.9	111.0	113.6	108.4	111.6
2018-1	103.4	110.9	113.5	107.0	110.8
2018-2	102.6	111.8	115.3	107.0	111.3
2018-3	101.5	112.3	116.9	106.8	110.3
2018-4	100.7	112.2	119.3	106.5	110.8
2019-1	100.1	112.8	121.0	106.6	111.9
2019-2	99.9	113.4	122.7	106.9	114.0
2019-3	100.3	115.1	122.7	107.7	114.9
2019-4	100.8	116.0	125.0	108.5	116.2





