"Jahr"	"Belegte Wohnungen"	"Wohnbevölkerung"	"Leerstehende Wohnungen (rechte Skala)"
1960	41496		
1961	43965	145583	
1962	45985	152958	
1963	47554	159251	
1964	49493	164203	
1965	51699	169958	268
1966	53967	174714	251
1967	56444	180270	193
1968	58723	186405	208
1969	61380	191178	203
1970	64149	198474	222
1971	67140	203432	183
1972	69913	209932	268
1973	72717	214396	367
1974	74782	218222	1443
1975	76887	220918	1749
1976	78113	219840	1454
1977	79243	218495	1127
1978	80632	218485	739
1979	82199	218806	385
1980	83568	220065	376
1981	84923	221266	476
1982	86339	222187	627
1983	88442	223493	
1984	89723	224850	558
1985	90810	226284	639
1986	92353	228048	487
1987	93764	229202	396
1988	95324	231632	232
1989	96581	232707	179
1990	97612	233798	150
1991	98385	235421	164
1992	98977	237118	275
1993	106304	236735	316
1994	107744	253357	385
1995	109448	254181	451
1996	111312	255124	502
1997	112879	256535	632
1998	114584	257822	644
1999	116101	259485	668
2000	117774	261380	687
2001	119158	262165	679
2002	120255	262934	498
2003	121480	265455	506
2004	122573	266881	494
2005	123601	267538	662
2006	125005	268382	739
2007	125857	269638	897
2008	126124	271341	630
2009	127266	273147	683
2010	127836	274673	595
2011	129473	275756	572
2012	130964	277042	589
2013	131887	277973	492
2014	132974	280070	427
2015	134231	282651	528
2016	136214	284960	645
2017	137766	286923	809
2018	138967	288361	1060
2019	139929	289352	1492
2020	141232	290633	1617
2021	143048	292080	1404
2022	144791	294316	1353
2023	146387	298451	1359
2024	148006	301285	1087
2025	149521	303285	1196






