JahrBezirk	Einpersonenhaushalte	Familienhaushalte	Andere Haushalte
2012: Pestalozzi	1127	604	296
2012: Kannenfeld	485	372	138
2012: Landskron	1749	1328	458
2012: Lysbüchel	430	402	156
2012: Friedmatt	599	892	144
.			
2013: Pestalozzi	1118	613	318
2013: Kannenfeld	492	374	133
2013: Landskron	1742	1358	467
2013: Lysbüchel	433	395	163
2013: Friedmatt	602	903	140
..			
2014: Pestalozzi	1109	622	325
2014: Kannenfeld	488	369	141
2014: Landskron	1703	1321	514
2014: Lysbüchel	414	391	161
2014: Friedmatt	577	916	129
...			
2015: Pestalozzi	1083	625	308
2015: Kannenfeld	463	362	138
2015: Landskron	1693	1308	518
2015: Lysbüchel	410	392	166
2015: Friedmatt	574	904	125
....			
2016: Pestalozzi	1058	619	321
2016: Kannenfeld	461	370	144
2016: Landskron	1697	1257	509
2016: Lysbüchel	393	397	169
2016: Friedmatt	570	901	137
.....			
2017: Pestalozzi	1047	623	313
2017: Kannenfeld	461	359	150
2017: Landskron	1645	1246	532
2017: Lysbüchel	386	388	163
2017: Friedmatt	561	898	136
......			
2018: Pestalozzi	1032	646	334
2018: Kannenfeld	464	356	148
2018: Landskron	1677	1235	515
2018: Lysbüchel	393	372	150
2018: Friedmatt	556	894	141
.......			
2019: Pestalozzi	1064	625	339
2019: Kannenfeld	481	356	131
2019: Landskron	1728	1190	481
2019: Lysbüchel	406	375	140
2019: Friedmatt	542	901	149
........			
2020: Pestalozzi	1085	629	325
2020: Kannenfeld	487	360	136
2020: Landskron	1706	1199	501
2020: Lysbüchel	407	388	133
2020: Friedmatt	547	889	162
.........			
2021: Pestalozzi	1089	645	315
2021: Kannenfeld	462	357	142
2021: Landskron	1715	1165	512
2021: Lysbüchel	423	384	150
2021: Friedmatt	559	928	198
..........			
2022: Pestalozzi	1111	625	307
2022: Kannenfeld	467	357	141
2022: Landskron	1782	1174	494
2022: Lysbüchel	482	428	197
2022: Friedmatt	580	934	196
...........			
2023: Pestalozzi	1065	616	328
2023: Kannenfeld	465	336	151
2023: Landskron	1772	1162	472
2023: Lysbüchel	521	488	202
2023: Friedmatt	570	958	186
