	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=499)	27.5	48.3	11.6	2.2	5.2	5.2
Mehrpersonen-HH (n=871)	36.5	46	8.3	1.4	3.2	4.6
*Geschlecht						
Männlich (n=637)	28.4	51	9.7	2.8	3.9	4.1
Weiblich (n=760)	37.2	43.9	9.1	0.9	3.7	5.1
*Alter						
55-64 Jahre (n=518)	37.6	46.5	8.7	1.9	3.3	1.9
65-74 Jahre (n=434)	30.9	50.2	8.8	1.2	3.7	5.3
>74 Jahre (n=441)	30.4	44.4	10.7	2.3	4.8	7.5
*Staatsangehörigkeit						
Schweiz (n=1 280)	33.8	46.6	9.5	1.5	3.8	4.8
Ausland (n=120)	25.8	52.5	8.3	4.2	4.2	5
*Haushaltseinkommen						
<5 000 Fr. (n=428)	26.9	50.5	9.8	2.1	4.7	6.1
5 000-7 499 Fr. (n=325)	31.4	49.8	10.2	2.2	2.8	3.7
>7 499 Fr. (n=440)	40.2	44.3	9.1	1.6	2.5	2.3
*Wahlkreis						
Grossbasel Ost (n=357)	33.3	43.4	12	2.5	4.5	4.2
Grossbasel West (n=474)	31	47.3	9.3	1.5	5.3	5.7
Kleinbasel (n=306)	31.7	48.7	9.5	2.3	2.3	5.6
Riehen, Bettingen (n=240)	39.2	49.6	5.8	0.4	2.1	2.9
*Befragungsjahr						
2011 (N=1 689)	27.2	50.8	9.3	1.3	5.5	5.9
2015 (N=1 427)	29.5	50.5	10	1.6	4.6	3.9
2019 (N=1 410)	33.1	46.9	9.4	1.8	3.9	5

