"Staatsangehörigkeit"	"Evangelisch-reformiert"	"Römisch-katholisch"	"Christkatholisch"	"Israelitisch"	"Andere"	"Keine Zugehörigkeit"	"Unbekannt"
"Schweiz"	26.5	18.8	0.3	0.7	8.2	41.4	4.0
"Deutschland"	19.3	20.5	0.1	0.4	6.4	51.1	2.2
"Italien"	0.4	24.7	0.0	0.0	2.9	68.1	3.8
"Türkei"	0.1	0.0	0.0	0.0	93.8	4.5	1.5
"EU-17 + EFTA"	2.4	17.6	0.2	0.3	7.8	66.7	4.8
"EU-Ost"	2.7	28.7	0.3	0.1	13.8	52.1	2.4
"Balkan"	0.1	6.9	0.1	0.0	75.3	11.7	5.9
"Mittel- und Südamerika"	3.3	28.8	0.0	0.2	3.6	62.3	1.7
"Arabische Länder"	0.8	0.3	0.0	0.1	88.1	8.2	2.6
"Afrikanische Länder"	7.3	17.2	0.8	0.0	37.2	33.5	4.0
"Übrige Länder"	1.1	6.6	0.2	1.5	51.3	36.2	3.1

