Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2018	1	2017	2017	0.0166023166	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	1	Altstadt Grossbasel	2
2018	1	2017	2017	0.0362911266	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	2	Vorstädte	6
2018	1	2017	2017	0.0369102683	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	3	Am Ring	7
2018	1	2017	2017	0.0592991914	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	4	Breite	12
2018	1	2017	2017	0.039971321	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	5	St. Alban	9
2018	1	2017	2017	0.0714703225	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	6	Gundeldingen	13
2018	1	2017	2017	0.0179556517	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	7	Bruderholz	3
2018	1	2017	2017	0.0246931835	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	8	Bachletten	4
2018	1	2017	2017	0.046390258	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	9	Gotthelf	10
2018	1	2017	2017	0.0970977506	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	10	Iselin	17
2018	1	2017	2017	0.0888650964	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	11	St. Johann	16
2018	1	2017	2017	0.0799512987	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	12	Altstadt Kleinbasel	14
2018	1	2017	2017	0.0844760039	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	13	Clara	15
2018	1	2017	2017	0.0359855335	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	14	Wettstein	5
2018	1	2017	2017	0.048733362	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	15	Hirzbrunnen	11
2018	1	2017	2017	0.1117673785	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	16	Rosental	18
2018	1	2017	2017	0.1171948838	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	17	Matthäus	19
2018	1	2017	2017	0.1394900069	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	18	Klybeck	21
2018	1	2017	2017	0.1332630098	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	19	Kleinhüningen	20
2018	1	2017	2017	0.0369328834	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	20	Riehen	8
2018	1	2017	2017	0.0159529807	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfeanteil	30	Bettingen	1
2018	2	2017	2017	0.2841698842	Anteil&nbsp;Ausländer	Auslaenderanteil	1	Altstadt Grossbasel	7
2018	2	2017	2017	0.3840478564	Anteil&nbsp;Ausländer	Auslaenderanteil	2	Vorstädte	14
2018	2	2017	2017	0.3619796485	Anteil&nbsp;Ausländer	Auslaenderanteil	3	Am Ring	11
2018	2	2017	2017	0.3286163522	Anteil&nbsp;Ausländer	Auslaenderanteil	4	Breite	9
2018	2	2017	2017	0.3310629145	Anteil&nbsp;Ausländer	Auslaenderanteil	5	St. Alban	10
2018	2	2017	2017	0.3930070673	Anteil&nbsp;Ausländer	Auslaenderanteil	6	Gundeldingen	15
2018	2	2017	2017	0.2398053002	Anteil&nbsp;Ausländer	Auslaenderanteil	7	Bruderholz	2
2018	2	2017	2017	0.2142540293	Anteil&nbsp;Ausländer	Auslaenderanteil	8	Bachletten	1
2018	2	2017	2017	0.2752971876	Anteil&nbsp;Ausländer	Auslaenderanteil	9	Gotthelf	6
2018	2	2017	2017	0.3791322927	Anteil&nbsp;Ausländer	Auslaenderanteil	10	Iselin	13
2018	2	2017	2017	0.4300856531	Anteil&nbsp;Ausländer	Auslaenderanteil	11	St. Johann	16
2018	2	2017	2017	0.3717532468	Anteil&nbsp;Ausländer	Auslaenderanteil	12	Altstadt Kleinbasel	12
2018	2	2017	2017	0.4674338883	Anteil&nbsp;Ausländer	Auslaenderanteil	13	Clara	17
2018	2	2017	2017	0.3113924051	Anteil&nbsp;Ausländer	Auslaenderanteil	14	Wettstein	8
2018	2	2017	2017	0.249463289	Anteil&nbsp;Ausländer	Auslaenderanteil	15	Hirzbrunnen	4
2018	2	2017	2017	0.5577767681	Anteil&nbsp;Ausländer	Auslaenderanteil	16	Rosental	21
2018	2	2017	2017	0.5057022242	Anteil&nbsp;Ausländer	Auslaenderanteil	17	Matthäus	19
2018	2	2017	2017	0.5235010338	Anteil&nbsp;Ausländer	Auslaenderanteil	18	Klybeck	20
2018	2	2017	2017	0.4743319269	Anteil&nbsp;Ausländer	Auslaenderanteil	19	Kleinhüningen	18
2018	2	2017	2017	0.2609673791	Anteil&nbsp;Ausländer	Auslaenderanteil	20	Riehen	5
2018	2	2017	2017	0.241813602	Anteil&nbsp;Ausländer	Auslaenderanteil	30	Bettingen	3
2018	3	2017	2017	0.5196911197	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	1	Altstadt Grossbasel	18
2018	3	2017	2017	0.5509471585	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	2	Vorstädte	20
2018	3	2017	2017	0.5094357077	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	3	Am Ring	17
2018	3	2017	2017	0.4916891285	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	4	Breite	13
2018	3	2017	2017	0.4933679871	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	5	St. Alban	14
2018	3	2017	2017	0.4567724109	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	6	Gundeldingen	6
2018	3	2017	2017	0.485559762	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	7	Bruderholz	12
2018	3	2017	2017	0.4814431465	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	8	Bachletten	11
2018	3	2017	2017	0.5010147869	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	9	Gotthelf	16
2018	3	2017	2017	0.4521930085	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	10	Iselin	5
2018	3	2017	2017	0.4697537473	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	11	St. Johann	8
2018	3	2017	2017	0.5706168831	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	12	Altstadt Kleinbasel	21
2018	3	2017	2017	0.4708619001	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	13	Clara	9
2018	3	2017	2017	0.5497287523	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	14	Wettstein	19
2018	3	2017	2017	0.4971017604	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	15	Hirzbrunnen	15
2018	3	2017	2017	0.4160230198	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	16	Rosental	3
2018	3	2017	2017	0.4649990549	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	17	Matthäus	7
2018	3	2017	2017	0.4121295658	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	18	Klybeck	2
2018	3	2017	2017	0.3948663854	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	19	Kleinhüningen	1
2018	3	2017	2017	0.4805961755	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	20	Riehen	10
2018	3	2017	2017	0.4391267842	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	30	Bettingen	4
2018	4	2017	2017	0.2922636103	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	1	Altstadt Grossbasel	19
2018	4	2017	2017	0.3167572085	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	2	Vorstädte	20
2018	4	2017	2017	0.2780228594	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	3	Am Ring	16
2018	4	2017	2017	0.2849794239	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	4	Breite	17
2018	4	2017	2017	0.2392694911	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	5	St. Alban	10
2018	4	2017	2017	0.273321097	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	6	Gundeldingen	15
2018	4	2017	2017	0.1545054945	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	7	Bruderholz	2
2018	4	2017	2017	0.2107660146	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	8	Bachletten	6
2018	4	2017	2017	0.2869757174	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	9	Gotthelf	18
2018	4	2017	2017	0.2655998089	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	10	Iselin	13
2018	4	2017	2017	0.2289479562	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	11	St. Johann	9
2018	4	2017	2017	0.3210091344	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	12	Altstadt Kleinbasel	21
2018	4	2017	2017	0.2677286742	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	13	Clara	14
2018	4	2017	2017	0.2642381657	Anteil&nbsp;Personen&nbsp;in Einpersonen-haushalten	Anteileinpersonenhaushalte	14	Wettstein	12
