""	"Schweizer"	"Schweizerinnen"	"Ausländer"	"Ausländerinnen"
"2008-01"	0.024	0.024	0.051	0.039
"2008-02"	0.024	0.024	0.051	0.040
"2008-03"	0.023	0.023	0.048	0.039
"2008-04"	0.022	0.023	0.045	0.036
"2008-05"	0.022	0.023	0.043	0.037
"2008-06"	0.022	0.023	0.045	0.038
"2008-07"	0.022	0.024	0.044	0.037
"2008-08"	0.021	0.024	0.043	0.038
"2008-09"	0.023	0.023	0.043	0.041
"2008-10"	0.023	0.024	0.045	0.041
"2008-11"	0.025	0.024	0.051	0.041
"2008-12"	0.027	0.024	0.060	0.042
"2009-01"	0.028	0.024	0.063	0.041
"2009-02"	0.028	0.023	0.064	0.041
"2009-03"	0.030	0.024	0.063	0.043
"2009-04"	0.030	0.025	0.061	0.042
"2009-05"	0.030	0.024	0.061	0.045
"2009-06"	0.031	0.026	0.060	0.049
"2009-07"	0.032	0.028	0.059	0.050
"2009-08"	0.032	0.027	0.060	0.050
"2009-09"	0.033	0.027	0.061	0.053
"2009-10"	0.033	0.029	0.065	0.055
"2009-11"	0.034	0.029	0.068	0.054
"2009-12"	0.035	0.030	0.078	0.055
"2010-01"	0.043	0.032	0.074	0.050
"2010-02"	0.041	0.031	0.072	0.049
"2010-03"	0.040	0.031	0.067	0.048
"2010-04"	0.038	0.030	0.063	0.048
"2010-05"	0.037	0.030	0.060	0.046
"2010-06"	0.037	0.029	0.056	0.045
"2010-07"	0.036	0.031	0.054	0.046
"2010-08"	0.036	0.032	0.053	0.048
"2010-09"	0.037	0.031	0.052	0.048
"2010-10"	0.036	0.031	0.052	0.048
"2010-11"	0.035	0.030	0.056	0.047
"2010-12"	0.036	0.029	0.065	0.047
"2011-01"	0.037	0.030	0.066	0.050
"2011-02"	0.036	0.030	0.062	0.049
"2011-03"	0.035	0.030	0.061	0.047
"2011-04"	0.031	0.026	0.051	0.043
"2011-05"	0.030	0.026	0.048	0.041
"2011-06"	0.029	0.026	0.047	0.041
"2011-07"	0.030	0.027	0.046	0.041
"2011-08"	0.029	0.027	0.046	0.042
"2011-09"	0.030	0.027	0.046	0.043
"2011-10"	0.030	0.027	0.047	0.043
"2011-11"	0.030	0.026	0.050	0.041
"2011-12"	0.032	0.025	0.056	0.041
"2012-01"	0.034	0.026	0.061	0.041
"2012-02"	0.034	0.026	0.061	0.042
"2012-03"	0.033	0.026	0.057	0.043
"2012-04"	0.032	0.026	0.055	0.043
"2012-05"	0.032	0.027	0.053	0.042
"2012-06"	0.031	0.025	0.047	0.042
"2012-07"	0.031	0.027	0.045	0.042
"2012-08"	0.031	0.027	0.044	0.043
"2012-09"	0.032	0.027	0.045	0.044
"2012-10"	0.032	0.027	0.049	0.044
"2012-11"	0.033	0.027	0.053	0.044
"2012-12"	0.035	0.027	0.061	0.045
"2013-01"	0.035	0.029	0.065	0.045
"2013-02"	0.035	0.028	0.063	0.045
"2013-03"	0.033	0.028	0.061	0.046
"2013-04"	0.033	0.027	0.056	0.045
"2013-05"	0.032	0.026	0.052	0.044
"2013-06"	0.030	0.025	0.052	0.042
"2013-07"	0.030	0.027	0.050	0.043
"2013-08"	0.030	0.027	0.049	0.044
"2013-09"	0.030	0.027	0.050	0.043
"2013-10"	0.030	0.027	0.052	0.044
"2013-11"	0.031	0.026	0.057	0.042
"2013-12"	0.032	0.027	0.066	0.042
"2014-01"	0.031	0.026	0.061	0.039
"2014-02"	0.031	0.026	0.058	0.039
"2014-03"	0.030	0.026	0.055	0.040
"2014-04"	0.030	0.025	0.051	0.039
"2014-05"	0.028	0.024	0.046	0.036
"2014-06"	0.027	0.024	0.042	0.036
"2014-07"	0.027	0.024	0.042	0.037
"2014-08"	0.027	0.025	0.041	0.039
"2014-09"	0.027	0.025	0.043	0.039
"2014-10"	0.027	0.025	0.047	0.039
"2014-11"	0.029	0.025	0.053	0.039
"2014-12"	0.031	0.024	0.062	0.039
"2015-01"	0.032	0.026	0.065	0.040
"2015-02"	0.032	0.025	0.062	0.041
"2015-03"	0.032	0.025	0.061	0.041
"2015-04"	0.031	0.025	0.058	0.041
"2015-05"	0.029	0.025	0.055	0.041
"2015-06"	0.029	0.025	0.052	0.041
"2015-07"	0.029	0.026	0.048	0.041
"2015-08"	0.031	0.027	0.047	0.041
"2015-09"	0.031	0.028	0.051	0.042
"2015-10"	0.031	0.027	0.053	0.043
"2015-11"	0.031	0.026	0.057	0.043
"2015-12"	0.032	0.025	0.062	0.043
"2016-01"	0.033	0.025	0.066	0.045
"2016-02"	0.034	0.026	0.067	0.047
"2016-03"	0.033	0.025	0.064	0.046
"2016-04"	0.033	0.027	0.064	0.047
"2016-05"	0.032	0.027	0.060	0.046
"2016-06"	0.031	0.026	0.056	0.045
