"Datum"	"Frauen"	"Männer"
"2009-01"	547	874
"2009-02"	569	1028
"2009-03"	652	1057
"2009-04"	521	929
"2010-01"	575	872
"2010-02"	492	868
"2010-03"	664	1126
"2010-04"	487	899
"2011-01"	532	937
"2011-02"	562	1021
"2011-03"	693	1274
"2011-04"	539	1031
"2012-01"	604	1071
"2012-02"	543	1042
"2012-03"	659	1127
"2012-04"	550	1037
"2013-01"	696	1123
"2013-02"	633	1243
"2013-03"	797	1215
"2013-04"	595	1093
"2014-01"	718	1095
"2014-02"	548	1011
"2014-03"	715	1284
"2014-04"	663	1221
"2015-01"	745	1193
"2015-02"	611	1145
"2015-03"	810	1282
"2015-04"	605	1077
"2016-01"	690	1160
"2016-02"	604	1152
"2016-03"	792	1200
"2016-04"	580	908
"2017-01"	750	1353
"2017-02"	674	1093
"2017-03"	707	1107
"2017-04"	575	929

