""	"BS"	"BL"	"AG"	"ZH"
"2008-1"	29947	17891	9209	5131
"2008-2"	30554	17542	9318	5351
"2008-3"	29973	17393	9293	5459
"2008-4"	29147	17371	9277	5368
"2009-1"	29366	17631	9455	5553
"2009-2"	29850	17970	9746	5708
"2009-3"	29933	18108	9815	5740
"2009-4"	30144	17909	10019	5822
"2010-1"	30866	18262	10383	5980
"2010-2"	31556	18570	10754	6220
"2010-3"	31607	18564	10902	6337
"2010-4"	31090	18321	10700	6371
"2011-1"	30953	18459	10827	6511
"2011-2"	31352	18681	11030	6739
"2011-3"	31869	18895	11300	6922
"2011-4"	31928	18694	11337	7046
"2012-1"	31997	18733	11572	7253
"2012-2"	32575	18967	11856	7461
"2012-3"	32951	19025	12088	7683
"2012-4"	32800	18864	12079	7725
"2013-1"	32863	18673	12166	7936
"2013-2"	33403	18909	12423	8173
"2013-3"	33774	19039	12621	8380
"2013-4"	33603	19163	12718	8409
"2014-1"	33678	19240	12814	8554
"2014-2"	34252	19531	13037	8716
"2014-3"	34682	19841	13270	8850
"2014-4"	34535	19792	13241	8900
"2015-1"	34615	19892	13233	9025
"2015-2"	35071	20238	13327	9192
"2015-3"	35278	20464	13589	9351
"2015-4"	34948	20462	13536	9365
"2016-1"	35475	20593	13761	9707
"2016-2"	35637	20726	13964	9764
"2016-3"	35885	20926	14104	9888
"2016-4"	35925	20956	14158	9981
"2017-1"	35907	21069	14147	10014
"2017-2"	35864	21139	14232	10125
"2017-3"	35930	21446	14228	10255
"2017-4"	35922	21490	14265	10272

