"Branche"	"2015"	"2016"	"2017"
"Industrie (exkl. Chemie, Pharma)"	0.277	0.289	0.282
"Chemie, Pharma"	0.360	0.367	0.351
"Baugewerbe"	0.252	0.233	0.222
"Handel, Reparatur"	0.225	0.219	0.208
"Verkehr, Lagerei"	0.111	0.099	0.095
"Gastgewerbe"	0.101	0.100	0.094
"Information, Kommunikation"	0.249	0.261	0.276
"Finanz-, Versicherungs-DL"	0.096	0.088	0.078
"Beratung, Planung, Forschung, Immobilien"	0.225	0.251	0.271
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.240	0.254	0.277
"Personalvermittlung, -überlassung"	0.261	0.294	0.307
"Öffentliche Verwaltung, Sozialversicherungen"	0.082	0.088	0.092
"Erziehung, Unterricht"	0.060	0.055	0.051
"Gesundheits-, Sozialwesen"	0.111	0.118	0.121
"Kultur, Unterhaltung, pers. DL"	0.075	0.075	0.075
"Total"	0.183	0.188	0.188

