"Datum"	"EU15/EFTA"	"EU seit 2004"	"Drittstaaten"
"2009-01"	929	115	326
"2009-02"	1124	129	318
"2009-03"	1080	137	459
"2009-04"	942	161	325
"2010-01"	942	87	364
"2010-02"	792	148	370
"2010-03"	1187	227	329
"2010-04"	881	135	347
"2011-01"	926	128	347
"2011-02"	1027	145	380
"2011-03"	1328	206	405
"2011-04"	1064	171	324
"2012-01"	1082	172	356
"2012-02"	982	179	401
"2012-03"	1189	207	374
"2012-04"	1015	208	354
"2013-01"	1216	171	385
"2013-02"	1224	190	429
"2013-03"	1323	266	405
"2013-04"	1204	167	310
"2014-01"	1226	227	322
"2014-02"	1006	181	325
"2014-03"	1304	288	354
"2014-04"	1283	264	277
"2015-01"	1295	189	389
"2015-02"	1175	203	293
"2015-03"	1402	275	345
"2015-04"	1166	201	234
"2016-01"	1127	177	463
"2016-02"	1140	250	303
"2016-03"	1319	267	331
"2016-04"	1002	228	212
"2017-01"	1214	191	486
"2017-02"	1062	221	430
"2017-03"	1186	261	287
"2017-04"	988	226	238

