"Datum"	"Aufenthalter (B)"	"Kurzaufenthalter (L) ab 12 M."	"Kurzaufenthalter 4 bis 12 M."	"Kurzaufenthalter bis 4 M."	"Dienstleistungserbringer bis 4 M."	"Übrige"
"2009-01"	733	113	287	190	44	54
"2009-02"	653	145	306	207	227	59
"2009-03"	706	172	421	204	115	91
"2009-04"	641	123	361	150	108	67
"2010-01"	700	130	325	140	97	55
"2010-02"	518	138	349	215	74	66
"2010-03"	766	162	451	171	186	54
"2010-04"	570	115	314	144	183	60
"2011-01"	710	130	320	135	115	59
"2011-02"	614	120	405	151	230	63
"2011-03"	846	109	558	148	249	57
"2011-04"	640	141	396	115	242	36
"2012-01"	716	166	504	107	143	39
"2012-02"	674	168	397	124	176	46
"2012-03"	782	192	469	134	154	55
"2012-04"	653	172	428	75	207	52
"2013-01"	833	185	505	121	143	32
"2013-02"	763	198	555	156	177	27
"2013-03"	809	188	588	126	252	49
"2013-04"	668	150	472	132	239	27
"2014-01"	822	184	528	109	138	32
"2014-02"	651	140	415	135	190	28
"2014-03"	834	183	601	120	226	35
"2014-04"	883	123	472	67	308	31
"2015-01"	886	187	501	145	181	38
"2015-02"	795	178	442	139	177	25
"2015-03"	914	175	540	157	267	39
"2015-04"	731	149	407	72	300	23
"2016-01"	807	140	356	296	249	2
"2016-02"	766	147	399	188	244	12
"2016-03"	953	136	457	173	269	4
"2016-04"	768	106	325	92	196	1
"2017-01"	819	164	356	444	320	0
"2017-02"	725	134	431	262	211	4
"2017-03"	845	126	445	129	261	8
"2017-04"	704	104	418	97	173	8

