""	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2008-1"	389	722	2505	943
"2008-2"	379	736	2733	924
"2008-3"	375	752	2571	859
"2008-4"	380	736	2559	806
"2009-1"	382	744	2598	832
"2009-2"	370	785	2655	866
"2009-3"	374	782	2656	864
"2009-4"	377	803	2672	861
"2010-1"	383	815	2690	910
"2010-2"	390	839	2745	907
"2010-3"	397	820	2745	898
"2010-4"	405	877	2648	869
"2011-1"	393	882	2673	843
"2011-2"	407	884	2672	856
"2011-3"	408	887	2672	872
"2011-4"	417	907	2705	826
"2012-1"	410	893	2751	817
"2012-2"	428	856	2788	848
"2012-3"	437	831	2839	858
"2012-4"	435	813	2840	857
"2013-1"	450	775	2843	820
"2013-2"	450	772	2905	838
"2013-3"	438	766	2985	824
"2013-4"	440	788	3012	798
"2014-1"	453	788	3056	812
"2014-2"	473	790	3109	798
"2014-3"	454	789	3169	795
"2014-4"	477	784	3186	807
"2015-1"	476	781	3199	835
"2015-2"	480	783	3230	856
"2015-3"	486	803	3262	847
"2015-4"	492	772	3269	859
"2016-1"	482	737	3369	898
"2016-2"	492	726	3415	868
"2016-3"	509	741	3512	891
"2016-4"	528	716	3493	869
"2017-1"	524	712	3511	876
"2017-2"	533	683	3544	858
"2017-3"	540	657	3564	864
"2017-4"	546	657	3562	860

