""	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2009-1"	66	2329	1692	8467
"2009-2"	78	2842	2984	14676
"2009-3"	717	3779	1389	24240
"2009-4"	789	2563	505	5225
"2010-1"	402	2858	3463	6049
"2010-2"	718	3863	430	12900
"2010-3"	495	3628	1251	24954
"2010-4"	871	5494	2072	16239
"2011-1"	555	5720	5380	11052
"2011-2"	376	4718	2966	15436
"2011-3"	799	3684	2678	22824
"2011-4"	719	4307	2119	17071
"2012-1"	13	5873	7275	10265
"2012-2"	203	4872	2743	16433
"2012-3"	616	4789	2193	35630
"2012-4"	642	5760	2348	23490
"2013-1"	226	5343	2341	18182
"2013-2"	212	6136	9680	30827
"2013-3"	398	6046	3893	39731
"2013-4"	657	4988	3860	26325
"2014-1"	184	8150	12775	19805
"2014-2"	335	7317	6543	31894
"2014-3"	495	7231	3907	47041
"2014-4"	195	7217	3317	19972
"2015-1"	347	9530	13944	17904
"2015-2"	265	8439	2842	23652
"2015-3"	551	6744	2969	36208
"2015-4"	280	7099	2331	14627
"2016-1"	164	11207	14071	12735
"2016-2"	406	7000	2109	19589
"2016-3"	693	5542	3977	25820
"2016-4"	299	5011	2902	16336
"2017-1"	99	6386	13838	11355
"2017-2"	289	6256	2039	26190
"2017-3"	472	5646	2766	32584
"2017-4"	310	4022	2029	20396

