""	"Meldepflichtige insgesamt"	"Arbeitnehmende"	"Selbständigerwerbende"	"Entsandte"
"2009-1"	62156	31776	7190	23190
"2009-2"	68930	37950	6323	24657
"2009-3"	100204	70278	5999	23927
"2009-4"	43643	27737	4712	11194
"2010-1"	62082	29768	10904	21410
"2010-2"	57420	38585	4820	14015
"2010-3"	81969	66492	3752	11725
"2010-4"	93414	57890	7917	27607
"2011-1"	77236	40981	10588	25667
"2011-2"	66615	42783	6994	16838
"2011-3"	92660	70627	5906	16127
"2011-4"	89379	66906	6384	16089
"2012-1"	94016	52222	13311	28483
"2012-2"	78353	49790	6339	22224
"2012-3"	120725	93856	4677	22192
"2012-4"	98130	67379	6078	24673
"2013-1"	89915	61146	9283	19486
"2013-2"	143415	77967	25473	39975
"2013-3"	124422	102639	5969	15814
"2013-4"	94753	68336	7526	18891
"2014-1"	169658	66287	39115	64256
"2014-2"	132207	76491	18127	37589
"2014-3"	133439	110579	5526	17334
"2014-4"	87773	63015	7127	17631
"2015-1"	181546	67543	38632	75371
"2015-2"	109239	62845	15402	30992
"2015-3"	123362	97317	6375	19670
"2015-4"	82674	54277	9299	19098
"2016-1"	179077	66935	39820	72322
"2016-2"	106323	59634	14747	31942
"2016-3"	110742	89073	5409	16260
"2016-4"	81706	58126	7251	16329
"2017-1"	148190	61914	30384	55892
"2017-2"	116191	72034	15580	28577
"2017-3"	124398	97897	5467	21034
"2017-4"	91024	65179	7494	18351

