Jahr	 Schweiz	 Deutschland	 Vereinigte Staaten	 Vereinigtes Königreich	 Frankreich	 Italien	 Spanien	 Niederlande	 Übrige Länder
2008	 298 886 	 183 423 	 87 268 	 81 938 	 42 805 	 39 838 	 26 850 	 30 464 	 217 441 
2009	 314 033 	 201 941 	 90 940 	 78 413 	 48 130 	 41 359 	 26 997 	 30 835 	 197 694 
2010	 303 631 	 202 343 	 103 871 	 79 124 	 48 297 	 45 183 	 24 543 	 32 733 	 231 356 
2011	 306 478 	 195 333 	 107 913 	 83 728 	 47 407 	 42 214 	 23 998 	 29 277 	 242 955 
2012	 313 411 	 178 209 	 110 196 	 81 158 	 50 822 	 41 736 	 21 644 	 27 068 	 257 663 
2013	 322 772 	 185 430 	 113 226 	 84 025 	 50 040 	 44 998 	 22 484 	 28 043 	 254 844 
2014	 363 756 	 176 308 	 112 834 	 92 842 	 50 443 	 46 114 	 23 691 	 28 322 	 268 628 
2015	 398 179 	 169 496 	 121 342 	 95 610 	 51 414 	 46 523 	 24 685 	 25 330 	 269 217 
2016	 406 196 	 167 768 	 123 366 	 101 277 	 52 631 	 48 749 	 27 206 	 26 061 	 264 423 
2017	 424 254 	 192 042 	 136 263 	 98 282 	 58 011 	 50 423 	 32 835 	 30 405 	 305 532 
